id,key,u,v
31445,425754361|1030633234|88813181,425754361,1030633234
31446,7426139020|7426139021|793889181,7426139020,7426139021
31447,7426139020|7426139007|793889177,7426139020,7426139007
31448,7426139022|430921379|806403751,7426139022,430921379
31449,7426139022|7426139021|793889182,7426139022,7426139021
31450,427050437|427050439|36739209,427050437,427050439
31451,1799682598|1799682597|168750058,1799682598,1799682597
31452,429634494|427795336|36800097,429634494,427795336
31453,429634494|1171943306|53763100,429634494,1171943306
31454,427178603|1171943188|36745550,427178603,1171943188
31455,427178603|1171943306|53763100,427178603,1171943306
31456,427178603|1171943164|160363517,427178603,1171943164
